report_month,price_range,range_min,range_max,range_rank,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at,built_at
2024-12,"$375,000 - $499,999",375000.0,499999.0,4,10980.0,32574.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$500,000 - $624,999",500000.0,624999.0,5,4715.0,14116.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$625,000 - $749,999",625000.0,749999.0,6,2886.0,8586.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$750,000 - $874,999",750000.0,874999.0,7,1721.0,4907.0,4.2,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$875,000 - $999,999",875000.0,999999.0,8,1211.0,3205.0,4.5,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,$1M - $1.99M,1000000.0,1990000.0,9,2702.0,5589.0,5.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,$2M and up,2000000.0,,10,921.0,1213.0,9.1,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"Below $125,000",0.0,125000.0,1,1229.0,3983.0,3.7,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$125,000 - $249,999",125000.0,249999.0,2,7660.0,26013.0,3.5,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$250,000 - $374,999",250000.0,374999.0,3,15726.0,47872.0,3.9,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$375,000 - $499,999",375000.0,499999.0,4,11391.0,32896.0,4.2,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$500,000 - $624,999",500000.0,624999.0,5,4983.0,14383.0,4.2,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
